User_ID,Card_Number,Current_Borrows,Membership_Type
21,827286,1,Standard
49,726392,2,Standard
28,441798,3,Advanced
61,870364,1,Super
100,7483,4,Basic
6,564767,1,Advanced
66,410798,9,Basic
2,389374,8,Super
7,810741,8,Basic
78,11607,4,Advanced
57,696510,0,Advanced
34,806446,5,Basic
74,213381,5,Advanced
84,700241,3,Basic
85,491023,9,Basic
56,524885,3,Basic
38,925303,4,Basic
99,724730,5,Advanced
72,71087,1,Advanced
70,379586,2,Advanced
24,85301,8,Super
74,191151,7,Super
78,286705,1,Basic
4,851110,3,Standard
69,907830,8,Standard
37,970389,1,Advanced
77,265171,2,Standard
56,406422,1,Super
1,928924,8,Basic
13,48480,9,Super
7,464107,5,Standard
72,247084,6,Standard
2,192803,5,Basic
11,605497,1,Standard
48,226242,8,Standard
49,842051,8,Advanced
97,12917,9,Super
54,74788,6,Advanced
33,377471,2,Advanced
18,526334,5,Super
88,109699,1,Basic
17,193390,4,Super
50,704891,8,Advanced
77,949332,7,Standard
56,199182,7,Basic
3,443852,8,Super
69,348779,0,Basic
13,212298,1,Standard
3,395247,1,Super
38,845871,6,Advanced
