Transaction_ID,Transaction_Date,Status,User_ID
1,2023-11-09,Canceled,93
2,2023-10-30,Pending,20
3,2023-10-05,Pending,71
4,2023-10-03,Pending,92
5,2023-10-08,Canceled,88
6,2023-11-10,Canceled,5
7,2023-10-09,Canceled,68
8,2023-10-22,Completed,36
9,2023-11-20,Completed,17
10,2023-11-16,Canceled,28
11,2023-10-18,Pending,94
12,2023-10-22,Canceled,71
13,2023-11-01,Completed,98
14,2023-11-18,Pending,88
15,2023-10-05,Completed,92
16,2023-10-28,Pending,70
17,2023-10-21,Completed,82
18,2023-10-12,Completed,51
19,2023-10-21,Pending,28
20,2023-11-08,Canceled,20
21,2023-11-16,Completed,8
22,2023-11-11,Pending,1
23,2023-11-09,Pending,78
24,2023-10-23,Canceled,47
25,2023-11-10,Canceled,19
26,2023-10-11,Completed,15
27,2023-10-07,Completed,39
28,2023-11-06,Pending,89
29,2023-10-30,Pending,33
30,2023-10-10,Pending,40
31,2023-10-27,Completed,91
32,2023-10-16,Canceled,41
33,2023-11-10,Pending,100
34,2023-10-07,Completed,98
35,2023-11-21,Canceled,48
36,2023-11-04,Pending,69
37,2023-10-08,Pending,7
38,2023-10-15,Completed,19
39,2023-10-07,Canceled,91
40,2023-10-18,Pending,84
41,2023-10-07,Pending,46
42,2023-10-01,Completed,90
43,2023-10-18,Completed,65
44,2023-11-19,Canceled,6
45,2023-11-17,Canceled,10
46,2023-10-13,Pending,65
47,2023-10-08,Completed,88
48,2023-10-07,Pending,25
49,2023-10-09,Pending,5
50,2023-10-30,Pending,98
51,2023-10-07,Pending,96
52,2023-10-03,Pending,15
53,2023-11-13,Completed,45
54,2023-10-11,Pending,98
55,2023-11-21,Pending,53
56,2023-10-30,Pending,92
57,2023-10-03,Pending,69
58,2023-11-04,Pending,72
59,2023-10-15,Pending,94
60,2023-10-29,Pending,23
61,2023-10-19,Completed,11
62,2023-10-31,Completed,6
63,2023-10-02,Completed,44
64,2023-11-09,Canceled,24
65,2023-10-26,Completed,7
66,2023-10-19,Completed,27
67,2023-11-19,Completed,72
68,2023-10-21,Completed,85
69,2023-11-20,Canceled,87
70,2023-11-06,Completed,70
71,2023-10-15,Pending,30
72,2023-11-17,Canceled,50
73,2023-10-19,Completed,89
74,2023-10-12,Pending,27
75,2023-11-15,Canceled,4
76,2023-10-27,Canceled,74
77,2023-10-17,Canceled,96
78,2023-10-05,Completed,32
79,2023-11-13,Pending,34
80,2023-10-11,Canceled,100
81,2023-11-14,Pending,13
82,2023-11-02,Completed,93
83,2023-11-10,Canceled,8
84,2023-10-08,Pending,34
85,2023-11-15,Completed,5
86,2023-11-04,Completed,50
87,2023-10-13,Completed,8
88,2023-10-20,Canceled,90
89,2023-10-20,Pending,83
90,2023-11-08,Canceled,29
91,2023-11-09,Completed,90
92,2023-11-07,Pending,23
93,2023-10-19,Completed,1
94,2023-10-22,Pending,39
95,2023-10-28,Canceled,95
96,2023-10-12,Completed,46
97,2023-11-17,Canceled,46
98,2023-11-09,Pending,83
99,2023-10-21,Pending,64
100,2023-11-13,Completed,28
