22,Journey Through the Stars,Cristina Hullock,01:36:00
3,The Enigma Documentary,Bertrando Letchford,01:30:00
43,Nature's Wonders,Lyndsay Higounet,01:05:00
44,Chasing the Horizon,Reinwald Rassmann,01:15:00
51,The Untold Story,Alain Shovelin,01:45:00
52,Journey Through the Stars,Martina Middis,01:36:00
53,Echoes of the Past,Karita Polkinhorn,01:10:00
57,Chasing the Horizon,Lynn Mackett,01:15:00
64,The Enigma Documentary,Calli Clavey,01:30:00
65,Echoes of the Past,Craig Chesters,01:10:00
71,Journey Through the Stars,Ryun Semmens,01:36:00
85,Chasing the Horizon,Marcellus Poynton,01:15:00
86,Nature's Wonders,Netta Spenceley,01:05:00
90,Whispers of Time,Krystal Bone,01:45:00
93,Echoes of the Past,Darsey Boise,01:10:00
