1,7463910,Document,1996-09-28,Virtual Valleys Vol. II,Benito Wytchard
15,855452,Audio,1999-05-05,Pixelated Perspectives,Shea Franklen
26,8765045,Animation,2016-05-15,Neural Nexus,Edlin Whitwell
29,9284303,Video,1979-07-30,Net Nuances,Brennen Houlahan
35,6795479,Interactive,2017-07-11,Techno Transformation,Rayshell Kaubisch
38,9175012,Video,1993-11-07,Virtual Valleys,Avivah Chart
4,2095011,Podcast,1994-04-25,Cyborg Cycles,Loleta Tugwell
40,4576753,Animation,1986-11-25,Synth Symphony,Eddie Petford
43,4657837,Document,2014-12-17,Virtual Vibes Vol. II,Reade Spehr
5,4743278,Document,1998-02-10,Matrix Metaphors,Whitman Heads
56,2277270,Document,1981-02-27,Techno Triumphs,Toiboid Bayns
69,8521490,Podcast,1960-03-22,Binary Beats,Trish Roseby
8,9772673,Text,2012-06-04,Digital Dialogues,Ashien Salman
82,4166171,Video,1959-01-30,Code Chronicles,Curt Basnett
84,119636,Image,1993-11-07,Virtual Valleys,Boothe Blandford
93,7345126,Animation,1966-05-27,Virtual Visions,Madelin McBay
95,2387529,Virtual Reality,1997-11-19,Cybernetic Chronicles,Jessie Joseff
96,7827252,Podcast,1978-05-25,Digital Dawn,Shanon Courtes
